trial_id,drug_code,drug_name,therapeutic_area,phase,status,site_country,region,start_date,estimated_completion_date,enrolled_patients,primary_endpoint_met
NCT100226,MRK-1006,Vaxishield,Vaccines,Phase II,Terminated,Chile,Latin America,2023-03-24,2026-09-15,662,False
NCT100227,MRK-1006,Vaxishield,Vaccines,Phase III,Suspended,South Korea,APAC,2021-02-26,2023-04-28,524,True
NCT100228,MRK-1005,Neuroplex,Neurology,Phase IV,Completed,India,APAC,2024-06-25,2028-02-12,669,
NCT100229,MRK-1005,Neuroplex,Neurology,Phase IV,Terminated,Japan,APAC,2025-06-06,2027-11-09,1132,True
NCT100230,MRK-1005,Neuroplex,Neurology,Phase IV,Completed,Canada,North America,2019-11-20,2023-01-24,729,True
NCT100231,MRK-1004,Glucostat,Endocrinology,Phase II,Active,Australia,APAC,2020-07-16,2021-04-25,243,
NCT100232,MRK-1004,Glucostat,Endocrinology,Phase III,Terminated,Germany,EMEA,2020-02-15,2021-03-06,866,
NCT100233,MRK-1003,Immunext,Immunology,Phase IV,Terminated,Mexico,North America,2020-10-08,2022-05-19,853,False
NCT100234,MRK-1006,Vaxishield,Vaccines,Phase II,Suspended,Japan,APAC,2020-01-02,2020-09-14,1195,True
NCT100235,MRK-1007,Pulmocare,Respiratory,Phase II,Completed,Germany,EMEA,2023-06-15,2024-02-26,1034,True
NCT100236,MRK-1005,Neuroplex,Neurology,Phase IV,Active,Canada,North America,2022-03-11,2025-07-05,950,False
NCT100237,MRK-1005,Neuroplex,Neurology,Phase IV,Completed,Germany,EMEA,2022-09-16,2024-03-30,352,True
NCT100238,MRK-1006,Vaxishield,Vaccines,Phase IV,Suspended,India,APAC,2020-12-19,2023-04-19,850,True
NCT100239,MRK-1007,Pulmocare,Respiratory,Phase III,Active,USA,North America,2020-07-29,2021-02-07,997,False
NCT100240,MRK-1007,Pulmocare,Respiratory,Phase III,Suspended,South Africa,EMEA,2021-12-29,2025-09-12,695,True
NCT100241,MRK-1005,Neuroplex,Neurology,Phase IV,Completed,India,APAC,2019-09-12,2021-01-31,262,False
NCT100242,MRK-1005,Neuroplex,Neurology,Phase II,Active,Mexico,North America,2022-04-23,2023-07-20,772,False
NCT100243,MRK-1003,Immunext,Immunology,Phase IV,Suspended,Chile,Latin America,2025-10-17,2028-12-04,785,
NCT100244,MRK-1004,Glucostat,Endocrinology,Phase III,Recruiting,Germany,EMEA,2024-11-22,2028-07-19,934,True
NCT100245,MRK-1001,Cardiozin,Cardiology,Phase IV,Recruiting,UK,EMEA,2020-11-04,2022-06-27,691,
NCT100246,MRK-1008,Dermalyx,Dermatology,Phase IV,Active,Mexico,North America,2023-12-30,2027-05-14,133,False
NCT100247,MRK-1008,Dermalyx,Dermatology,Phase I,Terminated,Mexico,North America,2024-03-08,2026-02-07,651,True
NCT100248,MRK-1004,Glucostat,Endocrinology,Phase I,Suspended,USA,North America,2023-10-02,2024-07-31,725,True
NCT100249,MRK-1008,Dermalyx,Dermatology,Phase II,Terminated,Canada,North America,2023-08-02,2026-03-05,388,False
NCT100250,MRK-1008,Dermalyx,Dermatology,Phase II,Completed,Argentina,Latin America,2019-11-25,2021-01-20,1124,True
NCT100251,MRK-1007,Pulmocare,Respiratory,Phase III,Terminated,UK,EMEA,2019-01-15,2022-08-02,66,False
NCT100252,MRK-1007,Pulmocare,Respiratory,Phase II,Completed,UK,EMEA,2024-03-01,2025-09-18,728,
NCT100253,MRK-1002,Oncavera,Oncology,Phase II,Active,Mexico,North America,2023-09-14,2024-07-27,52,True
NCT100254,MRK-1001,Cardiozin,Cardiology,Phase I,Terminated,Chile,Latin America,2019-07-19,2022-07-01,521,True
NCT100255,MRK-1004,Glucostat,Endocrinology,Phase II,Suspended,USA,North America,2024-08-25,2026-12-06,612,
NCT100256,MRK-1006,Vaxishield,Vaccines,Phase II,Terminated,France,EMEA,2020-08-09,2022-10-13,1087,False
NCT100257,MRK-1001,Cardiozin,Cardiology,Phase I,Completed,South Africa,EMEA,2025-03-26,2029-05-01,1035,
NCT100258,MRK-1007,Pulmocare,Respiratory,Phase III,Terminated,South Korea,APAC,2023-07-31,2025-02-06,325,
NCT100259,MRK-1008,Dermalyx,Dermatology,Phase IV,Recruiting,UK,EMEA,2022-05-16,2026-01-06,315,False
NCT100260,MRK-1007,Pulmocare,Respiratory,Phase II,Completed,South Africa,EMEA,2021-09-21,2022-08-28,542,False
NCT100261,MRK-1006,Vaxishield,Vaccines,Phase III,Terminated,Mexico,North America,2021-02-19,2025-01-07,125,
NCT100262,MRK-1001,Cardiozin,Cardiology,Phase II,Terminated,USA,North America,2025-08-03,2027-04-02,1164,False
NCT100263,MRK-1005,Neuroplex,Neurology,Phase IV,Active,USA,North America,2021-02-17,2025-01-04,260,
NCT100264,MRK-1004,Glucostat,Endocrinology,Phase III,Terminated,Brazil,Latin America,2025-03-11,2028-04-18,678,
NCT100265,MRK-1006,Vaxishield,Vaccines,Phase IV,Terminated,Australia,APAC,2023-01-13,2024-01-29,1070,
NCT100266,MRK-1008,Dermalyx,Dermatology,Phase IV,Recruiting,India,APAC,2023-02-27,2026-10-21,660,True
NCT100267,MRK-1003,Immunext,Immunology,Phase III,Active,Canada,North America,2025-03-16,2026-10-18,875,False
NCT100268,MRK-1004,Glucostat,Endocrinology,Phase III,Completed,Chile,Latin America,2021-10-03,2024-12-26,1042,
NCT100269,MRK-1008,Dermalyx,Dermatology,Phase II,Suspended,Brazil,Latin America,2022-12-13,2026-03-07,366,True
NCT100270,MRK-1001,Cardiozin,Cardiology,Phase IV,Active,USA,North America,2019-07-18,2023-07-28,33,True
NCT100271,MRK-1002,Oncavera,Oncology,Phase IV,Completed,Germany,EMEA,2021-06-14,2022-04-13,1055,
NCT100272,MRK-1008,Dermalyx,Dermatology,Phase IV,Recruiting,Brazil,Latin America,2019-01-28,2019-08-30,1109,
NCT100273,MRK-1005,Neuroplex,Neurology,Phase II,Recruiting,Japan,APAC,2024-08-19,2025-08-31,901,
NCT100274,MRK-1003,Immunext,Immunology,Phase III,Completed,UK,EMEA,2025-12-13,2027-12-10,1098,False
NCT100275,MRK-1002,Oncavera,Oncology,Phase II,Active,South Korea,APAC,2024-02-24,2026-04-28,1177,
NCT100276,MRK-1002,Oncavera,Oncology,Phase IV,Suspended,USA,North America,2023-07-19,2026-09-15,796,True
NCT100277,MRK-1001,Cardiozin,Cardiology,Phase III,Suspended,Germany,EMEA,2024-08-09,2025-08-19,908,
NCT100278,MRK-1001,Cardiozin,Cardiology,Phase III,Recruiting,UK,EMEA,2025-05-10,2026-04-07,993,
NCT100279,MRK-1005,Neuroplex,Neurology,Phase II,Suspended,USA,North America,2022-07-12,2023-10-30,52,
NCT100280,MRK-1007,Pulmocare,Respiratory,Phase II,Suspended,Canada,North America,2020-10-27,2023-06-30,1174,
NCT100281,MRK-1006,Vaxishield,Vaccines,Phase III,Recruiting,Chile,Latin America,2020-07-27,2021-08-11,180,False
NCT100282,MRK-1004,Glucostat,Endocrinology,Phase III,Recruiting,Canada,North America,2025-10-14,2029-10-31,832,False
NCT100283,MRK-1008,Dermalyx,Dermatology,Phase IV,Terminated,Brazil,Latin America,2022-12-28,2024-07-10,1152,
NCT100284,MRK-1007,Pulmocare,Respiratory,Phase I,Recruiting,Mexico,North America,2022-04-24,2024-04-21,524,True
NCT100285,MRK-1007,Pulmocare,Respiratory,Phase I,Recruiting,South Africa,EMEA,2022-07-21,2023-01-27,758,False
NCT100286,MRK-1008,Dermalyx,Dermatology,Phase I,Active,Australia,APAC,2020-02-23,2023-01-20,291,False
NCT100287,MRK-1007,Pulmocare,Respiratory,Phase I,Suspended,USA,North America,2020-01-03,2023-11-07,744,False
NCT100288,MRK-1007,Pulmocare,Respiratory,Phase I,Suspended,Canada,North America,2023-08-22,2025-06-29,814,
NCT100289,MRK-1003,Immunext,Immunology,Phase III,Completed,Brazil,Latin America,2020-07-22,2023-10-24,570,True
NCT100290,MRK-1002,Oncavera,Oncology,Phase III,Terminated,South Africa,EMEA,2022-02-04,2023-01-07,882,False
NCT100291,MRK-1005,Neuroplex,Neurology,Phase IV,Recruiting,South Africa,EMEA,2025-08-29,2026-11-29,420,False
NCT100292,MRK-1001,Cardiozin,Cardiology,Phase III,Terminated,Argentina,Latin America,2025-12-15,2028-04-28,798,False
NCT100293,MRK-1003,Immunext,Immunology,Phase IV,Completed,Australia,APAC,2025-10-06,2027-04-02,431,False
NCT100294,MRK-1006,Vaxishield,Vaccines,Phase III,Terminated,South Korea,APAC,2025-06-16,2027-07-10,516,False
NCT100295,MRK-1006,Vaxishield,Vaccines,Phase II,Suspended,Mexico,North America,2021-03-29,2021-11-19,1137,
NCT100296,MRK-1008,Dermalyx,Dermatology,Phase IV,Terminated,South Africa,EMEA,2022-04-08,2023-07-17,161,
NCT100297,MRK-1005,Neuroplex,Neurology,Phase IV,Terminated,France,EMEA,2026-05-21,2027-04-17,335,False
NCT100298,MRK-1008,Dermalyx,Dermatology,Phase I,Completed,Chile,Latin America,2024-09-06,2028-03-08,876,
NCT100299,MRK-1002,Oncavera,Oncology,Phase II,Suspended,USA,North America,2026-05-17,2027-02-11,747,
